sentence,label
"that ''Kabul risks political meltdown''","premise"
".","other"
"Many other analysts have also predicted a sombre year","other"
",","other"
"particularly after","other"
"the refusal of former President Hamid Karzai to sign the Bilateral Security Agreement (BSA) with the US","premise"
".","other"
"However	Modd-NU","other"
",	Modd-NU","other"
"for the time being, we were all proved wrong","other"
"as","other"
"the democratic process","other"
"that began at the Bonn Conference in 2001","other"
",","other"
"survived","claim"
",","other"
"and","other"
"the country was saved from the brink of a new civil war","claim"
".","other"
"Indeed we have achieved important strategic gains in the last few months","other"
",","other"
"starting with the landmark peaceful transfer of political power from one democratically elected leader to another, for the first time in Afghanistan's history","claim"
".","other"
"This milestone was made possible by the will of ordinary Afghan people","claim"
",","other"
"who twice braved the threat of violence imposed by the Taliban and came out en masse","other"
",","other"
"voting for their candidates of choice","premise"
".","other"
"Meanwhile","other"
",","other"
"the Taliban has tried hard","other"
"to undermine the electoral process","claim"
".","other"
"By","other"
"confronting Afghan security forces in 16 different provinces","other"
",","other"
"they wanted","other"
"to gain significant territory","claim"
",","other"
"thus declaring themselves as an alternative governing force in the country","claim"
".","other"
"Nevertheless	Modd-NU","other"
",	Modd-NU","other"
"the Afghan security forces have been able","other"
"to hold ground and push back the insurgent offensives in almost all fronts","claim"
",","other"
"which has became a source of pride for the Afghan government and people","claim"
".","other"
"This proved wrong skeptics","other"
"who doubted","other"
"the capacity of the Afghan security forces","other"
"to defend their country","claim"
",","other"
"which has taken responsibility for security in many provinces since the start of the security transition in 2012","premise"
".","other"
"Following the inauguration of President Ashraf Ghani and Chief Executive Officer (CEO) Abdullah Abdullah, the BSA was immediately signed, approved by an overwhelming majority of Afghan Members of Parliament","premise"
".","other"
"In addition to the BSA, the signing of the Status of Force Agreement (SOFA) between NATO and the new Afghan government has created a new momentum in the country","other"
",","other"
"while","other"
"ensuring continued military and financial assistance for the new government","claim"
".","other"
"This has inherited an economic crisis, characterised by a fiscal gap resulting from the failures of the previous government","claim"
".","other"
"Afghanistan's strategic gains are still contingent upon two important factors","claim"
".","other"
"Firstly, there must be continued NATO support for the Afghan security forces","claim"
".","other"
"This is done by","other"
"building the capacity of the forces","other"
";","other"
"providing adequate resources such as fire power and particularly air power","other"
";","other"
"assisting in intelligence gathering","other"
";","other"
"and","other"
"logistics support","claim"
".","other"
"Without the technical and financial support from the US and NATO countries, the Afghan security forces will not be able","other"
"to sustain a high rate of casualties against the Taliban","claim"
".","other"
"For instance in 2014, an additional 5,000 members of the Afghan security forces were killed either in direct fighting against the Taliban or because of terrorist attacks such as suicide and road side bombings","premise"
".","other"
"Secondly, the government has the capacity","other"
"to reform the security intuitions","other"
"in order","other"
"to reduce the level of corruption and eliminate political influence exercised by important power brokers","claim"
".","other"
"The financing of the Afghan security forces are beyond the Afghan government's resources and is totally dependent on donors' contribution","claim"
".","other"
"The government could make significant contributions by","other"
"reducing costs","claim"
".","other"
"This could be done through","other"
"reducing corruption and improving management","claim"
".","other"
"Meanwhile","other"
",","other"
"eliminating political influence in appointments of senior officials and promotion of officers could boost the morale of the security forces and increase their fighting capacity","claim"
".","other"
"Alas, despite tremendous strategic gains, the new National Unity Afghan government is struggling with key cabinet appointments, particularly in the security sector","claim"
",","other"
"which might have been caused by heavy political influence by power brokers","claim"
".","other"
"In fact	Modd-NU","other"
",	Modd-NU","other"
"failures inherited from the previous government such as bad governance, corruption, nepotism and many other symptoms","other"
"that have caused a growing popular resentment, remain a serious threat to the national unity government","claim"
".","other"
"While	Modd-NU","other"
"people admit","other"
"that improvements in the security and economic sectors require time","claim"
",","other"
"they will not tolerate any failure in","other"
"fixing a dysfunctional government","other"
"which has failed","other"
"to address endemic corruption","other"
"and a culture of impunity","claim"
".","other"
"The inability of the new national unity government","other"
"to implement a comprehensive reform agenda","other"
",","other"
"could undermine the security transition","claim"
".","other"
"It is clear to us in Afghanistan","other"
"that the donor countries will not tolerate anymore corruption and bad governance","claim"
",","other"
"which could weaken their financial commitments pledged during the NATO Summit in Wales","claim"
".","other"
"Any reduction in funding for the Afghan government could negatively impact the Afghan security forces","claim"
",","other"
"while	Modd-NU","other"
"the Taliban will increase their offensive","claim"
".","other"
"The biggest test for the security transition is ahead of us","claim"
"because	Modd-NU","claim"
"the insurgents will further intensify their attacks in the beginning of next spring","claim"
"and","other"
"we might see a Taliban surge next summer","claim"
".","other"
"The Afghan government has little time","other"
"to prepare itself for the upcoming fighting season","claim"
",","other"
"which has impacted the US and NATO military missions in Afghanistan since 2001","claim"
".","other"
"After Charlie Hebdo attack, the real war.","other"
"France's Prime Minister Manuel Valls has said","other"
"that his country is now at war with radical Islam","premise"
".","other"
"''It","other"
"is a war against terrorism, against jihadism, against radical Islam, against everything","other"
"that is aimed at breaking fraternity, freedom, solidarity,''","other"
"Valls said during a speech on Saturday in Evry, south of Paris","premise"
".","other"
"What	modd-NU","other"
"is ''radical Islam''?	m-question","claim"
"Is there such a thing?	m-question","claim"
"And how	Modd-NU","claim"
"does this affect the ongoing US-led war on extremism - the most tangible form being ISIL	modd","claim"
"who have controlled large segments of land and people in northern Iraq and eastern Syria?	m-question","claim"
"Very few people know","claim"
"that in Islam there are two kinds of ''jihad''","claim"
".","other"
"The smaller jihad is the more known - namely the one","other"
"which reflects the military struggle","claim"
".","other"
"But the greater jihad","other"
",","other"
"which is less known","other"
",","other"
"is the internal jihad - or struggle","claim"
".","other"
"Few people also know","other"
"that the Arabic word ''jihad'' is used throughout the Bible as well","claim"
",","other"
"although","other"
"certainly not in the militaristic sense","claim"
".","other"
"2 Timothy 4:7 states","other"
":","other"
"''I have fought the good fight","other"
",","other"
"I have finished the race","other"
",","other"
"I have kept the faith.''","premise"
"The verse in Arabic uses","premise"
"the term ''jihad'' for the word ''fight''","claim"
".","other"
"So","other"
"whether	Modd-NU","other"
"it is this struggle or the fight for a better world	Modd-NU","other"
",	Modd-NU","other"
"the militaristic jihad is certainly not a monopoly for Islamists","claim"
".","other"
"World leaders have correctly pointed out","other"
"that the fight against ISIL must be waged both on the military and ideological levels","claim"
".","other"
"But we must be careful about the idea of","other"
"conflating Islam with radicalism","claim"
".","other"
"People and ideas might be radical","claim"
"but","other"
"to target a religion with radicalism","other"
"adds insult to injury and shifts from the proper focus","other"
"which is the individually created extremism","claim"
".","other"
"We have heard and seen a lot of the former","claim"
",","other"
"but","other"
"very little has been done","other"
"to tackle the ideologies behind this extreme group","claim"
".","other"
"The need","other"
"to deal with the extreme thoughts connected to this movement","other"
"was made clear by extremists","other"
"who carried out the heinous attack against a French satirical newspaper; most likely","other"
"because","other"
"of the ideas it has espoused","claim"
".","other"
"Whenever	Modd-NU","other"
"violent acts take place	Modd-NU","other"
",	Modd-NU","other"
"the natural response is	Modd-NU","other"
"to militarily obliterate the group or militia behind it","claim"
".","other"
"There might be a good case for a military response","claim"
"but","other"
"it would be a totally counterproductive effort	cond","claim"
"if	cond","other"
"it is not accompanied by an equally strong ideological response","claim"
".","other"
"It might be possible","other"
"to kill the holders of some of these ideas","claim"
"but","other"
"everyone knows","other"
"that you can't kill ideas by","other"
"using force","claim"
".","other"
"Extremist ideology must be tackled in a number of ways","claim"
".","other"
"The most important ideological response to extremism is the need","other"
"to show","other"
"that there are better and more effective ways to deal with the various issues","other"
"that make","other"
"extremism popular","claim"
".","other"
"This includes the need","other"
"to introduce real political reform in the countries","other"
"that are of importance to the people","other"
"that follow these extreme leaders","claim"
".","other"
"It applies both to the Arab countries","claim"
"whose autocratic leadership has left a large sector of the public without any say in","claim"
"what","claim"
"happens to them","claim"
".","other"
"But it also applies to the need","other"
"to continue","other"
"stemming racism and Islamophobia from many of the western countries","claim"
"where","claim"
"some homegrown terrorism seems","claim"
"to be gaining strength","claim"
".","other"
"The issue is complicated by murderous acts like those committed in Paris","claim"
",","other"
"which tend","other"
"to increase rather than decrease anti-Islamic sentiments","claim"
".","other"
"In addition to political changes	Modd-NU","other"
"that must be introduced	Modd-NU","other"
",	Modd-NU","other"
"Arab and Muslim intellectuals and leaders must end their self-imposed silence and speak out clearly and unabashedly","claim"
".","other"
"There is no reason","other"
"to keep","other"
"repeating","other"
"that these actions are not a reflection of true Islam","claim"
".","other"
"What","other"
"is needed","other"
"is for writers and thinkers","other"
"to produce concrete and practical thoughts and ideas","other"
"that can be applicable to the 21st century","claim"
".","other"
"Today's Arab and Muslim youth need","other"
"to find alternative role models and alternative ideas","other"
"that they can adopt in this struggle of ideas","other"
"that extremists are working tirelessly","other"
"to defend","other"
"- and to","other"
"which the other side is only paying lip service","claim"
".","other"
"One successful idea called","other"
"takween (seen on the local Jordanian website, ammannet.net) has seen an increase in audience","premise"
"as","other"
"reformed independent writers from various backgrounds (culture, media, women's issues and workers rights) are producing daily analysis","other"
"that is the anti-thesis to ISIL's ideology","claim"
".","other"
"The individual efforts by some intellectuals is","other"
"to be supported","other"
"but much more is necessary","claim"
".","other"
"The anti-extremism military effort can't yield positive results	cond","claim"
"if	cond","other"
"there isn't a combined change in","other"
"how","other"
"ruling governments conduct their affairs","other"
"(especially on the economic empowerment front)","other"
",","other"
"and","other"
"how","other"
"to tackle every one of the extremists' thoughts, ideas and practices","claim"
".","other"
"The battle will be long and cumbersome","claim"
"but","other"
"in order","other"
"to win","other"
",","other"
"all people of good will must work together","other"
"to produce","other"
"what","other"
"is good and uplifting for a better future for all","claim"
".","other"
"Another climate change summit: Don't give up.","other"
"Many have simply lost faith in global climate negotiations summits such as COP 20 starting in Lima, Peru today","claim"
".","other"
"But","other"
"while	Modd-NU","other"
"the process has not delivered the climate action","other"
"we need","claim"
",","other"
"I would argue","other"
"that this year key things have changed","claim"
"and","other"
"that we must continue","other"
"to demand from our politicians","other"
"that they listen and act and, by that, safeguard the future of next and current generations on this planet","claim"
".","other"
"As	Modd-NU","other"
"nations start the latest global round of climate change negotiations in Lima, Peru today","premise"
",","other"
"it is easy","other"
"to be cynical","claim"
".","other"
"Because in the 20 plus years","other"
"that our governments have been meeting for global climate meetings","other"
",","other"
"emissions have risen more than ever before","claim"
".","other"
"This year is already predicted","other"
"to be the warmest","other"
"since","other"
"records began","premise"
".","other"
"And yet","other"
",","other"
"this is a moment of opportunity","claim"
".","other"
"Because	Modd-NU","other"
"things are changing	Modd-NU","other"
",	Modd-NU","other"
"really changing","claim"
".","other"
"In the climate movement, in the economy and in the politics of climate change","other"
".","other"
"Today, the climate movement all over the world is reenergised","claim"
".","other"
"The largest ever climate march in New York this September was a powerful symbol for the global rise of a movement","other"
"that is","other"
"stopping pipelines and coal plants as well as forcing renewable energy solutions all over the world","claim"
".","other"
"In economics","other"
",	Modd-NU","other"
"too	Modd-NU","other"
",","other"
"we live in a different world","claim"
":","other"
"Cost-effective, sensible renewable energy solutions have made quantum leaps","claim"
".","other"
"Renewables are the most economical solution for new power capacity in an ever-increasing number of countries","claim"
".","other"
"One hundred percent of new power capacity added in the United States in","other"
"August was renewable","premise"
"and","other"
"countries such as Denmark and Germany are producing new ''clean electricity'' records almost every month","premise"
".","other"
"China is installing as much solar this year","other"
"as","other"
"the US has ever done","claim"
".","other"
"Bilateral agreement","other"
".","other"
"The recent bilateral agreement between China and the United States","other"
"to cut pollution and drive cleaner energy sources","other"
"is, in addition, a sign of changing politics","claim"
".","other"
"Many said","other"
"that such an agreement was impossible","other"
",","other"
"that it would not happen in our lifetimes","claim"
".","other"
"And yet it did","premise"
".","other"
"Only a fool would argue","other"
"that the action proposed by these two biggest polluters","other"
"and","other"
"biggest economies is enough","claim"
".","other"
"It is not enough","other"
",","other"
"experts have already told","other"
"us","other"
",","other"
"to protect our planet from a potential three or four degree Celsius rise in global temperatures - with all the disastrous consequences","other"
"that would have for us, our children, and our ecosystems","claim"
".","other"
"But the fact","other"
"that the world's biggest emitters have come together","other"
"moves us from a","other"
"''you go first''","other"
"mentality","other"
",","other"
"that had paralysed global climate negotiations for years, to an","other"
"''I will act","other"
"if","other"
"you will act''","other"
"frame","claim"
".","other"
"At Lima","other"
",","other"
"others must now follow","claim"
"and","other"
"our pressure must speed up the action","claim"
".","other"
"Because	Modd-NU","other"
"we need","other"
"an agreement to tackle the climate crisis","claim"
",","other"
"which meets the needs of the many not the few","claim"
".","other"
"Because	Modd-NU","other"
"it is ordinary people living in flood and drought prone areas, dependent for their livelihoods on fishing, farming and forests, or living in cities engulfed by pollution or in housing","other"
"that cannot protect them from storms or heat waves","other"
",","other"
"who are bearing the brunt of our experiment with the world's climate","claim"
".","other"
"The United Nations","other"
"-","other"
"where","other"
"every country has a voice, not matter how small, relatively poor or vulnerable","other"
"- are still the only place","other"
"where","other"
"we can hope","other"
"to secure action","other"
"that takes full account of these peoples' rights","claim"
".","other"
"At Lima, we need","other"
"governments to make sure","other"
"that the direction is right","claim"
".","other"
"They need","other"
"to agree a goal of","other"
"ending carbon pollution","other"
"and deliver renewable energy for all people on this planet by 2050","claim"
".","other"
"And in Lima, governments must agree","other"
"to renew and review their targets","other"
"every five years, starting in 2025","claim"
".","other"
"Not just to cut pollution, but to help the vulnerable adapt to climate change, and to support poorer countries	modd-ASM","other"
"to provide sustainable energy access for their populations	modd-ASM","claim"
".","other"
"Every government should already be preparing their ''intended nationally determined contribution'' - their offer towards the Paris deal","claim"
".","other"
"Before March 2015 we must see concrete, ambitious plans from each and every one of the world's polluting nations","other"
"-","other"
"to phase out coal and nuclear power","other"
",","other"
"to install solar and wind energy","other"
",","other"
"to increase energy efficiency, to build cleaner and more livable cities, and to protect forests","claim"
".","other"
"In Lima, governments must agree","other"
"to review","other"
"whether","other"
"these plans are enough","other"
"to prevent climate chaos","other"
"and","other"
"whether","other"
"the effort is shared fairly between richer and poorer nations","other"
"before","other"
"they meet again in Paris in December 2015","claim"
".","other"
"In Lima, we expect scientists, business people and investors, city mayors, faith leaders and civil society organisations from all over the world","other"
"to be calling for more ambitious climate action","claim"
".","other"
"The climate movement gets broader and more effective day","claim"
".","other"
"It is an unstoppable force now","claim"
"- and","other"
"in Lima and Paris, we will make our voices heard","claim"
".","other"
"Argentina: Growth at what price?","other"
"Argentina has chosen a certain path for development","other"
"that is diametrically opposed to","other"
"what","other"
"is required","other"
"to mitigate the problems of climate change","claim"
".","other"
"And","other"
"as	Modd-NU","other"
