title,full_text,category,source
SoftBank to acquire DigitalBridge for $4bn in move to deepen ties to AI,"<p>Acquisition would further expand SoftBank’s investments in artificial intelligence as it tries to center itself in the boom</p><p>SoftBank Group will acquire digital infrastructure investor DigitalBridge Group in a deal valued at $4bn, the companies said on Monday, as the Japanese investment firm looks to deepen its AI-related portfolio.</p><p>The acquisition would expand SoftBank’s exposure to digital infrastructure as the Japanese conglomerate is positioning its portfolio to focus on artificial intelligence.<br /><br />
 SoftBank’s billionaire founder Masayoshi Son is seeking to capitalize on surging demand for the computing capacity that underpins artificial intelligence applications.</p> <a href=""https://www.theguardian.com/technology/2025/dec/29/softbank-digitalbridge-deal-artificial-intelligence"">Continue reading...</a>",fact,news
China launches live-fire drills around Taiwan simulating blockade of major ports,"<p>Taipei condemns exercise that Chinese army calls ‘a stern warning’ against separatist and external forces</p><p>China has launched live-fire military drills around Taiwan, simulating a blockade of major ports, attacking maritime targets, and fending off international “interference”, in what it calls a warning to “separatist” forces in Taiwan.</p><p>The People’s Liberation Army (PLA) – the military wing of the ruling Communist party in China – sent its navy, air force, rocket force and coastguard to surround Taiwan on Monday morning for a surprise exercise called “Justice Mission 2025”, which began less than an hour after it was announced.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/china-live-fire-military-drills-around-taiwan"">Continue reading...</a>",fact,news
"Influx of cheap Chinese imports could drive down UK inflation, economists say","<p>As Trump’s tariffs take effect, Britain is likely alternative destination for cars, telecoms and sound equipment</p><ul><li><p><a href=""https://www.theguardian.com/business/live/2025/dec/29/silver-precious-metals-prices-fed-rate-cut-oil-rises-trump-zelenskyy-meeting-business-live"">Business live – latest updates</a></p></li></ul><p>The UK is poised for an influx of cheap Chinese imports that could bring down inflation amid the fallout from Donald Trump’s global trade war, leading economists have said.</p><p>After figures showed <a href=""https://www.theguardian.com/world/2025/dec/09/chinas-record-high-trade-surplus-reveals-the-difficulty-trump-will-have-in-rebalancing-global-economy"">China’s trade surplus surpassed $1tn</a> (£750bn) despite Washington’s tariff policies hitting exports to the US, the Bank of England said the UK was among the nations emerging as alternative destinations for the goods.</p> <a href=""https://www.theguardian.com/business/2025/dec/29/chinese-imports-uk-inflation-trump-tariffs"">Continue reading...</a>",fact,news
Japanese town reeling from year of record bear encounters,"<p>Bears are becoming a growing problem in some of Japan’s urban areas as they are forced to venture further in search of food</p><p>It came as no surprise, least of all to the residents of Osaki, that “bear” was selected as Japan’s <a href=""https://mainichi.jp/english/articles/20251219/p2a/00m/0na/003000c"">kanji character of the year</a> earlier this month.</p><p>The north-eastern town of 128,000 people is best known for its Naruko Onsen hot springs, autumn foliage and <em>kokeshi</em> – cylindrical dolls carved from a single piece of wood. But this year it has made the headlines as a bear hotspot, as the country reels from a year of record ursine encounters and deaths, with warnings that winter will not bring immediate respite.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/osaki-japan-town-record-bear-encounters-2025"">Continue reading...</a>",fact,news
"Boy, 5, died after arm trapped in ski resort travelator in Japan","<p>Hinata Goto reportedly fell as he was trying to get off the 30-metre-long walkway</p><p>A five-year-old boy has died after becoming trapped in a moving travelator at a ski resort in northern Japan, local media have said.</p><p>The victim, Hinata Goto, died on Sunday after his right arm became trapped in the walkway’s winding mechanism during a family skiing trip to Otaru, a city on Japan’s northernmost island of Hokkaido.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/boy-5-killed-after-arm-trapped-in-ski-resort-travelator-in-japan-hokkaido"">Continue reading...</a>",fact,news
‘My target was just to take the gun’: wounded hero Ahmed al-Ahmed speaks of saving lives at Bondi beach,"<p>‘I know I saved lots, but I feel sorry for the lost,’ Ahmed tells CBS News of those who died in Sydney attack on 14 December</p><ul><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p>Ahmed al-Ahmed, who disarmed one of the Bondi gunmen before being shot five times, says he knows his bravery saved many lives but is sad for those who were killed in the attack.</p><p>In an interview with CBS News, Ahmed said he “didn’t worry about anything” except for the lives he could save as he disarmed Sajid Akram on 14 December. The act was <a href=""https://www.theguardian.com/australia-news/2025/dec/14/bystander-tackles-and-wrestles-gun-from-alleged-gunmen-during-bondi-beach-mass-shooting"">caught on camera</a> and shared around the world.</p> <a href=""https://www.theguardian.com/australia-news/2025/dec/29/wounded-hero-ahmed-al-ahmed-speaks-of-saving-lives-at-bondi-beach-ntwnfb"">Continue reading...</a>",fact,news
Queensland to continue to allow farmers to shoot flying foxes after revoking ban on controversial practice,"<p>Conservationists and scientists criticise state for backtracking and say alternative non-lethal methods such as netting are more effective</p><ul><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p>The Queensland government has backtracked on plans to end the shooting of flying foxes from July 2026, continuing a practice wildlife advocates and scientists describe as “ineffective” and “inhumane”.</p><p>Permits issued by the state’s environment department allow Queensland farmers to shoot flying foxes for the purposes of crop protection, up to an annual statewide quota set at 1,630 animals. That includes 130 grey-headed flying foxes, listed as vulnerable under federal environment laws, along with 700 black and 800 little red flying foxes.</p> <a href=""https://www.theguardian.com/environment/2025/dec/30/queensland-to-continue-to-allow-farmers-to-shoot-flying-foxes-after-revoking-ban-on-controversial-practice"">Continue reading...</a>",fact,news
Albanese’s refusal to heed families’ pleas for Bondi inquiry is hard to understand – and easy for opposition to attack,"<p>A review of Asio and the federal police is worthwhile, but it’s not a substitute for a royal commission into antisemitism</p><ul><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p>When Anthony Albanese opened a press conference on Monday announcing the release of terms of reference for an inquiry into the Bondi massacre, it seemed for a fleeting moment that he had belatedly agreed to hold a commonwealth royal commission.</p><p>The timing would have been understandable, after the <a href=""https://www.theguardian.com/australia-news/2025/dec/29/bondi-shooting-victims-families-royal-commission-ntwnfb"">victims’ families</a> had penned an open letter pleading for one, making the sort of intervention that can be politically untenable for any prime minister to refuse.</p> <a href=""https://www.theguardian.com/australia-news/2025/dec/30/albaneses-refusal-to-heed-families-pleas-for-bondi-inquiry-is-hard-to-understand-and-easy-for-opposition-to-attack-ntwnfb"">Continue reading...</a>",fact,news
"Ten years since David Dungay Jr died in jail, a rally to protest deaths in custody could test NSW’s new laws","<p>Dunghutti man’s nephew says fight for justice ‘is not just political – it is spiritual, cultural, and about survival’</p><ul><li><p>Get our <a href=""https://www.theguardian.com/email-newsletters?CMP=cvau_sfl"">breaking news email</a>, <a href=""https://app.adjust.com/w4u7jx3"">free app</a> or <a href=""https://www.theguardian.com/australia-news/series/full-story?CMP=cvau_sfl"">daily news podcast</a></p></li></ul><p>Since his uncle died in custody at one of New South Wales’ toughest prisons a decade ago, Paul Silva has been advocating for change almost daily. From organising large-scale rallies with thousands in attendance, to sitting through numerous coronial inquiries and supporting families, he says the right to protest is needed now more than ever.</p><p>The nephew of <a href=""https://www.theguardian.com/australia-news/2020/jun/11/the-story-of-david-dungay-and-an-indigenous-death-in-custody"">David Dungay Jr</a>, a Dunghutti man who died at the age of 26 at Long Bay jail in Sydney’s southern suburbs on 29 December 2015, Silva says the fight for justice “is not just political – it is spiritual, cultural, and about survival”.</p> <a href=""https://www.theguardian.com/australia-news/2025/dec/30/david-dungay-jr-protest-deaths-in-custody-nsw-new-laws-ntwnfb"">Continue reading...</a>",fact,news
Pauline Hanson travelled to US on Gina Rinehart’s private jet to attend CPAC,"<p>One Nation senator travelled on mining magnate’s Gulfstream 700 in October and is yet to declare it on parliamentary register </p><p>Pauline Hanson and her chief of staff, James Ashby, flew to Florida on Gina Rinehart’s private jet in October, but the One Nation senator is yet to declare the sponsored travel or answer questions about whether she may be in breach of parliamentary rules.</p><p>Guardian Australia can reveal the One Nation senator and her staffer travelled with Rinehart on the mining magnate’s Gulfstream 700 on 27 October, with publicly available flight tracking data showing that the aircraft travelled from Brisbane to Perth, before flying via Osaka to Palm Beach.</p> <a href=""https://www.theguardian.com/australia-news/2025/dec/30/pauline-hanson-travelled-to-us-on-gina-rineharts-private-jet-to-attend-cpac"">Continue reading...</a>",fact,news
Ukraine war live: Zelenskyy denies Russian accusation that Putin’s residence was attacked by Ukrainian drones,"<p>Zelenskyy says Moscow trying to derail peace talks progress, as Russian foreign minister claims Ukraine targeted president’s home in Novgorod</p><p>The Kremlin spokesperson Dmitry Peskov told journalists this morning that Moscow agreed with Donald Trump’s assessment that talks to end the war were in their final stage.</p><p>As a reminder, Trump said a draft agreement to end the war was nearly “95% done”. “I really think we are closer than ever with both sides,” he said, though he added that “one or two very thorny issues” remain.</p> <a href=""https://www.theguardian.com/world/live/2025/dec/29/ukraine-war-russia-us-zelenskyy-trump-security-guarantees-latest-news-updates"">Continue reading...</a>",fact,news
Kosovo prime minister wins snap election to end political deadlock,"<p>Albin Kurti’s emphatic victory strengthens mandate for domestic reforms including welfare expansion</p><p>Kosovo’s prime minister, Albin Kurti has won an emphatic election victory, marking a resurgence for the nationalist leader and ending a political deadlock in Europe’s youngest state.</p><p>The win in <a href=""https://www.theguardian.com/world/2025/dec/28/kosovo-goes-to-the-polls-in-snap-election-in-bid-to-end-political-crisis"">Sunday’s snap election</a> strengthens Kurti’s mandate to push through domestic reforms, including welfare expansion and higher salaries for public workers, although he faces significant problems including tensions with Serbia and health and education systems that lag behind Kosovo’s Balkan neighbours.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/kosovo-prime-minister-albin-kurti-wins-snap-election-to-end-political-deadlock"">Continue reading...</a>",fact,news
Is claim Ukraine deal is ‘95% done’ just another empty assertion from Trump?,"<p>A sober observer assessing the US president’s claim may react the same way as Zelenskyy – with shock and disbelief</p><ul><li><p><a href=""https://www.theguardian.com/world/2025/dec/29/volodymyr-zelenskyy-donald-trump-us-security-guarantees-ukraine"">Zelenskyy says US has agreed to offer Ukraine ‘strong’ 15-year security guarantees</a></p></li></ul><p>A deal to end the war between Russia and Ukraine was “95% done”, Donald Trump <a href=""https://www.theguardian.com/world/2025/dec/28/trump-zelenskyy-talks-amid-heavy-russian-airstrikes-on-ukraine"">claimed after his meeting</a> over the weekend with Volodymyr Zelenskyy at Mar-a-Lago.</p><p>Unfortunately, the 5% still remaining includes the small matter of getting Vladimir Putin to agree to a deal – and there are precious few indicators that that is any closer. Instead, Trump’s claim seems to be the latest in a long line of overoptimistic statements anticipating a swift end to the conflict, starting with his campaign promise that he would end the war in 24 hours.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/ukraine-deal-trump-russia-zelenskyy"">Continue reading...</a>",fact,news
Zelenskyy says US has agreed to offer Ukraine ‘strong’ 15-year security guarantees,"<p>Future of Donbas region remains unresolved after Ukrainian president’s talks with Donald Trump in Florida</p><ul><li><p><a href=""https://www.theguardian.com/world/live/2025/dec/29/ukraine-war-russia-us-zelenskyy-trump-security-guarantees-latest-news-updates"">Ukraine war – latest updates</a></p></li></ul><p>Volodymyr Zelenskyy says the US has agreed to offer “strong” security guarantees to Ukraine for 15 years, but acknowledged that the future of the country’s eastern Donbas region was unresolved after his <a href=""https://www.theguardian.com/world/2025/dec/28/trump-zelenskyy-talks-amid-heavy-russian-airstrikes-on-ukraine"">two-hour meeting on Sunday</a> with Donald Trump in Florida.</p><p>Speaking on his way back to Europe, Zelenskyy said the US Congress and Ukraine’s parliament would jointly vote on American pledges. These were a key part of a 20-point peace plan discussed with the US president at his Mar-a-Lago residence, he said.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/volodymyr-zelenskyy-donald-trump-us-security-guarantees-ukraine"">Continue reading...</a>",fact,news
Pensions timebomb: why Europe’s social contract is becoming unsustainable,"<p>Ageing populations and falling birthrates have left ever fewer workers to support growing number of retirees</p><p>It has played a starring role in one of the worst periods of political turmoil in France since the 1960s. In Germany, it <a href=""https://www.theguardian.com/world/2025/nov/18/pension-reform-row-threatens-germanys-coalition-government"">threatens the future</a> of the coalition government. In Spain, <a href=""https://www.publico.es/economia/8-000-personas-manifiestan-madrid-pensiones-minimas-iguales-smi-brecha-genero.html"">thousands have taken to the streets</a> to demand change.</p><p>The right to a decent <a href=""https://www.oecd.org/en/publications/2025/11/pensions-at-a-glance-2025_76510fe4/full-report.html"">state pension</a> has been a central plank of the European social contract for decades, but people are living longer, birthrates are falling, and the continent’s pension systems are, increasingly, unsustainable.</p> <a href=""https://www.theguardian.com/money/2025/dec/29/pensions-timebomb-europe-social-contract-becoming-unsustainable"">Continue reading...</a>",fact,news
What did Alaa Abd el-Fattah say in past social media posts and why is there a backlash?,"<p>British-Egyptian activist has apologised over tweets appearing to condone violence against Zionists and police</p><p>The human rights campaigner Alaa Abd el-Fattah’s <a href=""https://www.theguardian.com/uk-news/2025/dec/28/successive-uk-governments-face-questions-over-support-for-activist-alaa-abd-el-fattah"">past social media posts</a> have led to a widespread backlash since <a href=""https://www.theguardian.com/world/2025/dec/26/british-egyptian-activist-alaa-abd-el-fattah-arrives-in-uk-after-travel-ban-lifted"">his return from detention in Egypt</a> on Friday. What has happened?</p> <a href=""https://www.theguardian.com/world/2025/dec/29/what-did-alaa-abd-el-fattah-say-past-social-media-posts-why-backlash"">Continue reading...</a>",fact,news
British-Egyptian rights activist Alaa Abd el-Fattah apologises for ‘hurtful’ tweets,"<p>Campaigner recently released from prison makes statement after PM’s support is questioned by Tory MPs</p><p>Alaa Abd el-Fattah, the British-Egyptian human rights campaigner, has apologised unreservedly for what he accepted were shocking and hurtful tweets that he wrote more than 10 years ago in what he described as heated online battles.</p><p>He said he was shaken by the criticism that has rained down on him since the tweets were highlighted by shadow ministers challenging Keir Starmer’s support for him since he was released by the Egyptian government to travel to the UK after his release from more than 10 years in prison.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/british-egyptian-rights-activist-alaa-abd-el-fattah-apologises-for-hurtful-tweets"">Continue reading...</a>",fact,news
Netanyahu to meet Trump in US amid fears of Israeli regional offensives,"<p>Israel’s PM travels to Mar-a-Lago as US administration reported to be running out of patience over Gaza ceasefire</p><p>Benjamin Netanyahu is to meet Donald Trump at the US president’s Mar-a-Lago resort in Florida on Monday evening amid growing fears Israel could launch new offensives against regional enemies, potentially plunging the Middle East further into instability.</p><p>The Israeli prime minister left <a href=""https://www.timesofisrael.com/liveblog_entry/netanyahu-takes-off-for-florida-ahead-of-trump-meet/"">Israel on Sunday</a> on his fifth visit to see Trump in the US this year.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/netanyahu-to-meet-trump-in-us-amid-fears-of-israeli-regional-offensives"">Continue reading...</a>",fact,news
Two killed in stabbing and suspected car-ramming in northern Israel,"<p>Defence minister instructs military to respond with force in West Bank, where he said attacker was from</p><p>A Palestinian motorist ran over a man and stabbed a woman in northern Israel, killing both, Israeli emergency services say.</p><p>The assailant, from the occupied West Bank, was shot and wounded by a civilian at the scene on Friday and taken to hospital, Israeli police said.</p> <a href=""https://www.theguardian.com/world/2025/dec/26/palestinian-man-kills-two-in-northern-israel-car-ramming-and-stabbing-attack-police-say"">Continue reading...</a>",fact,news
Southern separatists in Yemen report Saudi airstrikes near positions,"<p>Alleged strikes close to UAE-backed forces follow Riyadh’s call for STC to withdraw from newly seized provinces</p><p>A separatist group in southern Yemen that this month seized two oil-rich provinces has claimed that Saudi Arabia has fired warning airstrikes directed at its forces.</p><p>Videos issued on Friday by media linked to the United Arab Emirates-backed Southern Transitional Council (STC) showed airstrikes that it said were close to its positions in Wadi Nahab, Hadramaut province.</p> <a href=""https://www.theguardian.com/world/2025/dec/26/southern-separatists-on-rise-in-yemen-report-saudi-airstrikes-near-positions"">Continue reading...</a>",fact,news
‘Why should we pay these criminals?’: the hidden world of ransomware negotiations,"<p>Cybersecurity experts reveal what they do for high-profile clients targeted by hackers such as Scattered Spider </p><p>They call it “stopping the bleeding”: the vital window to prevent an entire database from being ransacked by criminals or a production line grinding to a halt.</p><p>When a call comes into the cybersecurity firm S-RM, headquartered on Whitechapel High Street in east London, a hacked business or institution may have just minutes to protect themselves.</p> <a href=""https://www.theguardian.com/technology/2025/dec/29/ransomware-negotiations-extortion-cyber-attacks"">Continue reading...</a>",fact,news
Americans are waking up. A grand reckoning awaits us | Robert Reich,"<p>I’d like to believe that the horrific darkness of this past year is a necessary prelude to a brighter and saner future</p><p>About a year ago, at the start of the <a href=""https://www.theguardian.com/us-news/donaldtrump"">Trump</a> 2.0 regime, a woman was about to pass me on the sidewalk and then stopped, turned toward me and almost shouted: “It’s a fucking nightmare!”</p><p>It <em>has </em>been a “fucking nightmare”.</p> <a href=""https://www.theguardian.com/commentisfree/2025/dec/29/american-reckoning"">Continue reading...</a>",fact,news
My big night out: I woke up on a llama farm in Germany – hungover and lying beside a naked punk,"<p>At 20, I went on a European road trip for the summer, where a chance encounter in Cologne taught me the importance of friendship</p><p>The clock that ticks at 6am on a Saturday morning at a llama farm in rural Germany, when you wake up hungover next to a naked punk, ticks much more loudly than any other clock. In this case, it was a proper rustic European clock – none of your chrome or plastic nonsense – wooden and ancient, with little figurines which bustled around inside it, on the hour, every hour.</p><p>I was 20, on a European road trip, chugging around in an older man’s van in 2014, perpetually hungover.</p> <a href=""https://www.theguardian.com/lifeandstyle/2025/dec/29/my-big-night-out-woke-up-llama-farm-germany-naked-punk"">Continue reading...</a>",fact,news
‘A total knockout!’ The best television you never watched in 2025,"<p>From the most beautiful show Netflix has ever made to a thriller about a menopausal hitwoman and a dazzling documentary set in outer space, here are some TV gems that may have passed you by this year</p><p>In a bizarre move, Netflix released this series by Japanese master Hirokazu Kore-eda – the Palme d’Or winner renowned for movies such as Shoplifters and Nobody Knows – with absolutely no fanfare this year. But Asura was a total knockout – a rich and sumptuously shot drama about four sisters in the 70s who discover that their dad has been having a lifelong affair. It was so good, in fact, that it might even be the most beautiful show they’ve ever released. Talk about selling yourself short. <em>Watch it on Netflix.</em></p> <a href=""https://www.theguardian.com/tv-and-radio/2025/dec/29/a-total-knockout-the-best-television-you-never-watched-in-2025"">Continue reading...</a>",fact,news
Japanese town reeling from year of record bear encounters,"<p>Bears are becoming a growing problem in some of Japan’s urban areas as they are forced to venture further in search of food</p><p>It came as no surprise, least of all to the residents of Osaki, that “bear” was selected as Japan’s <a href=""https://mainichi.jp/english/articles/20251219/p2a/00m/0na/003000c"">kanji character of the year</a> earlier this month.</p><p>The north-eastern town of 128,000 people is best known for its Naruko Onsen hot springs, autumn foliage and <em>kokeshi</em> – cylindrical dolls carved from a single piece of wood. But this year it has made the headlines as a bear hotspot, as the country reels from a year of record ursine encounters and deaths, with warnings that winter will not bring immediate respite.</p> <a href=""https://www.theguardian.com/world/2025/dec/29/osaki-japan-town-record-bear-encounters-2025"">Continue reading...</a>",fact,news
Tom Jenkins’s best sport photographs of 2025,"<p>The Guardian sport photographer selects his favourite images he has taken this year and recalls the stories behind them</p><p>This is a selection of some of my favourite pictures taken at events I’ve covered this year, quite a few of which haven’t been published before. Several have been chosen for their news value, others purely for their aesthetic value, while some are here just because there’s a nice story behind them.</p> <a href=""https://www.theguardian.com/sport/2025/dec/29/tom-jenkins-best-sport-photographs-2025"">Continue reading...</a>",fact,news
Ukraine war live: Zelenskyy denies Russian accusation that Putin’s residence was attacked by Ukrainian drones,"<p>Zelenskyy says Moscow trying to derail peace talks progress, as Russian foreign minister claims Ukraine targeted president’s home in Novgorod</p><p>The Kremlin spokesperson Dmitry Peskov told journalists this morning that Moscow agreed with Donald Trump’s assessment that talks to end the war were in their final stage.</p><p>As a reminder, Trump said a draft agreement to end the war was nearly “95% done”. “I really think we are closer than ever with both sides,” he said, though he added that “one or two very thorny issues” remain.</p> <a href=""https://www.theguardian.com/world/live/2025/dec/29/ukraine-war-russia-us-zelenskyy-trump-security-guarantees-latest-news-updates"">Continue reading...</a>",fact,news
Trump to meet Netanyahu at Mar-a-Lago amid concerns over progress on fragile Gaza truce plan – live,"<p>The Israeli prime minister left Israel on Sunday on his fifth visit to see Trump in the US this year</p><p>Under the next stages of Trump’s plan, an <strong>interim authority made up of</strong> <strong>nonaligned Palestinian technocrats is to govern the Palestinian territory</strong> instead of Hamas and an <strong>international stabilisation force (ISF)</strong> of thousands of troops is to be deployed.</p><p>US officials have suggested the composition of the new authority could be announced in January.</p> <a href=""https://www.theguardian.com/us-news/live/2025/dec/29/trump-netanyahu-israel-gaza-live"">Continue reading...</a>",fact,news
